#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
default,0,1,1,10,,1,1,1,0.2,0.2,0.2,0.01,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,1,165.375,2033.955866,2,0,0.11,0.4,0.6,3.5,0.05,14,0.00005,1,0.15,0.003,13.5,0.13,0.48,545,0.1364,0.13981,0.14330525,0.146887881,0.150560078,25,50,80,120,180,2,2.07,2.14245,2.21743575,2.295046001,795,818,866,890,914,"3,575","3,900","4,550","5,200","5,850","6,500",0.63,0.66,0.69,0.72,0.75,2.88,3.06,3.24,3.42,3.6,2275,18,45,3,1.2,0.3348,0.45198,83.148,116.4072
2,2,110.25,1694.963222,2,0,0.11,0.4,0.6,3.5,0.05,14,0.00005,1,0.15,0.025,13.5,0.54,0.86,530,0.1689,0.1731225,0.177450563,0.181886827,0.186433997,20,25,30,40,60,2.5,2.5875,2.6780625,2.771794688,2.868807502,787,811,859,883,907,"4,125","4,500","5,250","6,000","6,750","7,500",0.63,0.66,0.69,0.72,0.75,2.88,3.06,3.24,3.42,3.6,2275,14.5,36.25,2.97,1.188,0.3348,0.45198,83.148,116.4072
3,3,73.5,736.9405313,3,0,0.1375,0.5,0.6,3.5,0.05,14,0.00005,1,0.15,0.086,13,1.17,1.69,380,0.285,0.292125,0.299428125,0.306913828,0.314586674,12,15,20,25,30,11,11.385,11.783475,12.19589663,12.62275301,782,806,853,877,902,"4,950","5,400","6,300","7,200","8,100","9,000",0.63,0.66,0.69,0.72,0.75,2.36,2.507,2.65,2.8,2.95,3850,13.5,33.75,2.85,1.14,0.243,0.32805,73.2108,102.49512
4,4,58.8,334.9729688,4,0,0.19,0.6,0.8,3.25,0.05,14,0.00005,1,0.15,0.209,13,2.08,3.4,330,0.5,0.5125,0.5253125,0.538445313,0.551906445,8,12,14,16,17,14.4,14.904,15.42564,15.9655374,16.52433121,773,797,844,868,893,"5,775","6,300","7,350","8,400","9,450","10,500",0.63,0.66,0.69,0.72,0.75,1.968,2.09,2.214,2.337,2.46,4900,12.9,32.25,2.73,1.092,0.216,0.2916,64.272,89.9808
5,5,47.04,159.5109375,5,0,0.31,0.8,0.95,3.35,0.05,14,0.00005,1,0.15,0.416,14,3.5,7.9,270,1.6,1.64,1.681,1.723025,1.766100625,5,7,8.5,15,16,28.8,29.808,30.85128,31.9310748,33.04866242,763,787,834,858,883,"6,600","7,200","8,400","9,600","10,800","12,000",0.63,0.66,0.69,0.72,0.75,2.088,2.218,2.349,2.479,2.61,5950,12.7,31.75,2.61,1.044,0.2106,0.28431,52.26,73.164
6,6,11.76,80.15625,5.5,0,0.395,0.95,1,3.75,0.1,5,0.00005,1,0.15,0.729,14,5.04,14.8,220,3.2,3.28,3.362,3.44605,3.53220125,4,4.8,6,7,10,50,51.75,53.56125,55.43589375,57.37615003,754,778,825,849,874,"7,425","8,100","9,450","10,800","12,150","13,500",0.63,0.66,0.69,0.72,0.75,1.48,1.572,1.665,1.757,1.85,6650,12.5,31.25,2.49,0.996,0.1998,0.26973,42.9,60.06
7,7,0.588,42.1875,6,10,0.475,1.25,1.15,3.5,0.1,5,0.00005,1,0.15,1.172,17.5,8.57,22,180,4.8,4.92,5.043,5.169075,5.298301875,3.5,4.6,5,6.5,7.5,70.4,72.864,75.41424,78.0537384,80.78561924,744,768,815,839,864,"8,250","9,000","10,500","12,000","13,500","15,000",0.63,0.66,0.69,0.72,0.75,1.344,1.428,1.512,1.596,1.68,7350,12,30,2.37,0.948,0.1944,0.26244,7.02,9.828
8,8,0.084,33.75,6.5,77,0.59,1.5,1.3,3,0.1,5,0.00005,1,0.15,1.768,17.5,11.2,33,160,7.2,7.38,7.5645,7.7536125,7.947452813,2,4,4.5,5,5.5,104,107.64,111.4074,115.306659,119.3423921,734,758,805,829,854,"9,075","9,900","11,550","13,200","14,850","16,500",0.63,0.66,0.69,0.72,0.75,1.21,1.292,1.368,1.444,1.52,8050,11.5,28.75,2.25,0.9,0.189,0.25515,6.63,9.282
9,9,0.042,27,7,166,0.65,2,1.55,0.375,0.2,5,0.00005,1,0.15,2.541,22.5,18.22,51,140,11.2,11.48,11.767,12.061175,12.36270438,1.8,3.2,3.7,4.3,4.7,156.8,162.288,167.96808,173.8469628,179.9316065,725,749,796,830,845,"9,900","10,800","12,600","14,400","16,200","18,000",0.63,0.66,0.69,0.72,0.75,1.12,1.19,1.26,1.33,1.4,8750,11,27.5,2.214,0.8856,0.195,0.26325,5.46,7.644
