@name,value,#comment,#,#,#,str,#,#,#
#,,,,,,,,,
#,,What is New,,,,,,,
help_url,0,,,,,- ,,,
what_is_new,0,"what-is-new text appearing at launch of new version (see to the right, column ""str"")",, ,,"*Ultimate Admiral: Dreadnoughts* 

-------------------------------------------------------------------------------------------------------------
*Naval Arms Race mod overhaul (N.A.R.), made by the Baron --Major Powers-- beta 2.6  for UAD 1.6.0.6*
-------------------------------------------------------------------------------------------------------------
Naval Arms Race, or simple N.A.R., is a mod overhaul for U.A.D. that reworks several game mechanics with focus in historical accuracy. Adds new nations, ships and rework many others. Other gameplay improvements are also made where it is possible to provide a more enjoyable experience with more interesting choices for the player.

Special thanks to Nick Thomadis from the U.A.D. team, for all the help and the precious information shared, to NathanKell and his brilliant work TweaksAndFixes that gave me the tools I needed to expand what it is possible to do, and to all the players that shared feedback. It helped me a lot, some with interesting suggestions, others by reporting bug fixing issues.

Best regards, the Baron. 
*==============================* 
If you are a YouTuber playing Ultimate Admiral: Dreadnoughts and received a copyright claim, please dispute the claim and it will be resolved within 48 hours. In the Google dispute dialogue, write in the ""Reason"" field: Game: Ultimate Admiral: Dreadnoughts Music is licensed from Audio Network Limited License O-0000110236 *Note:* You can avoid the above mentioned procedure if you turn-off the music while broadcasting our game.
",,,
credits,0,credits text,,,,"*--- PRODUCTION DESIGN ---*
Nick Thomadis 
Maxim Zasov

*--- DEVELOPMENT TEAM ---*

*Design, Sound, Writing, Programming*
Nick Thomadis

*Main Programming*
Denis Nagornyi
Nikolay Karpuscha
Evelina Vakatova

*3D Art*
Maxim Vitiuk

*--- PART TIME SUPPORT ---*

*Programming*
Roman Marchenko

*2D Art*
Vyacheslav Buhaiov
Yaroslav Medvedev

*Consulting, QA*
Dmitriy Oksuzov

*--- SPECIAL THANKS ---*

*Programming, Design*
Mikhail Kozlov",,,
#,,New game,,,,,,,
new_game_missions_won,3,"minimal amount of missions won to unlock ""new game""",economy calculator,,,,,,
start_year,1900,default starting year,comment,variable / variable = formula,input / result,,,,
cash_start_part,0.0035,starting amount of money as part of yearly budget,money delta per month,income = revenue - expenses,#REF!,,,,
cash_start_randomness,0.05,plus-minus randomness ratio of amount of starting money,all money gain,revenue = budget,"2,187,500",,,,
wealth_start_randomness,5,at new game plus-minus this amount of monthly wealth growth will be applied,all money loss,expenses = expenses_fixed +  budget * ( tech_budget + intel_budget + training_budget + shipyard_budget )/100 + maintenance + shipbuilding + ship_repairing,#REF!,,,,
shipyard_start,12500,starting size of shipyard,full yearly state budget,state_budget = ( budget_base + province_income * provinces ) * ( 1 + budget_mod_mult * budget_mod ) * ( 1+ wealth ),"656,250,000",,,,
shipyard_start_increase,100,increase of shipyard per year after minimal year (only for new game),actual monthly budget,budget = state_budget/12 * ( naval_budget_percent * (war?war_naval_budget_mult:1))/100,"2,187,500",,,,
start_tech_year_spread,0.02,random starting technologies: plus-minus this amount of years you will get techs,"type ""war"" or ""peace""",war,peace,,,,
province_dev_randomness,0.1,plus-minus randomness ratio of each province starting development,player answer events,budget_mod,0,,,,
province_population_randomness,0,plus-minus randomness ratio of each province starting population,player answer events,provinces,10,,,,
end_tech_max_level,80,Max turns of research to receive max. dissipation of end tech,,,,,,,
end_tech_max_penalty,0.8,End tech max dissipation penalty,,,,,,,
campaign_max_year,1940,The maximum year allowed to start a campaign.,,,,,,,
#,,Budget,from growth/events,wealth,0.05,,,,
budget_base,"50,000,000.",base budget (per year),player adjust ui slider,tech_budget,5,,,,
budget_mod_mult,0.01,"multiplier for event's budget-modifier, as ratio of budget-base (rtw:0.05)",player adjust ui slider,intel_budget,2.5,,,,
province_income,"35,000,000.",income from single province per 1 production,player adjust ui slider,training_budget,5,,,,
medium_nation_province_income_percent,0.1,percent of income added from allied medium nations,,,,,,,
oil_capacity_province_income_mod,10000,Extra province income on Oil,,,,,,,
oil_capacity_province_linear_mod,10,Modifier for base oil production,,,,,,,
oil_capacity_medium_nation_income,0.1,Special alliance with medium nation provides part of oil production,,,,,,,
naval_budget_percent,4,naval budget as percent of full state's budget,player adjust ui slider,shipyard_budget,#REF!,,,,
war_naval_budget_mult,1.5,multiplier for naval budget share if we are at war,all ships' maintenance cost,maintenance = sum[ships_normal] ( cost * ship_maintenance ),160,,,,
expenses_fixed,"100,000.",,shipbuilding cost,shipbuilding = sum[ships_building] ( cost / build_time ),100,,,,
expenses_fixed_randomness,1.5,ratio of randomness of fixed expenses,ship repairing cost,repairing = sum[ships_repairing] ( cost / build_time * repair_cost_mult ),45,,,,
fleet_generation_chance,33,Base chance to generate ships for a simulated turn.,,,,,,,
fleet_generation_years,3,number of years to simulate auto-fleet generation,,,,,,,
fleet_generation_index_chance,10,"the smaller the value, the more ships will be auto-generated, on average",,,,,,,
fleet_generation_money_min,0.22,"for starting year 1890, if player money <= X * GDP then ships not generated (the higher, the less ships generated).",,,,,0.35,,
fleet_generation_money_max,0.1,the same as above but for year 1940,,,,,0.2,,
min_fleet_tonnage_for_scrap,200000,Min Fleet Tonnage needed to start scrapping ships,,,,,,,
#,,Ship Maintenance,amount of active ships,ships_normal,8,,,,
ship_maintenance,0.02,ship maintenance cost: part of cost paid every month (rtw: 0.005/0.0025/0.001),amount of building ships,ships_building,2,,,,
suspend_cost_multiplier,0.15,ship maintenance cost if building is suspended,,,,,,,
limited_maintenance_multiplier,0.5,"ship maintenance cost modifier when it is on ""Limited"" state",,,,,,,
defend_maintenance_multiplier,0.65,"ship maintenance cost modifier when it is on ""Defend"" state",,,,,,,
sea_control_maintenance_multiplier,1.2,"ship maintenance cost modifier when it is on ""Sea Control"" state",,,,,,,
protect_role_maintenance_multiplier,1.2,"ship maintenance cost modifier when it is on ""Protect"" state",,,,,,,
invade_role_maintenance_multiplier,1.2,"ship maintenance cost modifier when it is on ""Invade"" state",,,,,,,
mothball_maintenance_cost_multiplier,0.2,"ship maintenance cost modifier when it is on ""Mothball"" state",,,,,,,
ship_scrap,0.15,scrap return: part of ships cost returned to player after scrapping (rtw: 0.03),amount of repairing ships,ships_repairing,1,,,,
ship_movement_cost_turn,0.013,"Additional cost of ships when at sea, depending on their cost",,,,,,,
#,,Economy,average cost of ship,ship_average_cost,"1,000,000",,,,
revol_wealth_growth_add,-0.001,,,,,,,,
revol_gdp_multiplier,-0.005,,,,,,,,
wealth_growth,0.004,"growth of state's wealth, ratio, monthly, 0.007",average building time,building_average_time,20,,,,
war_wealth_growth_add,-0.0015,"addition to wealth growth, if we are at war",peace month inflation,peace_inflation,0.055%,,,,
inflation,0.0004,inflation monthly,war month inflation,war_inflation,1.255%,,,,
war_inflation_add,0.01,"addition to inflation, if we are at war",peace one year inflation,peace_year_inflation,0.662%,,,,
threshold_deflation,-0.01171,"minimum level of actual wealth growth, after which decrease of inflation will apply",war one year inflation,war_year_inflation,16.1443%,,,,
cycle_wealth_amplitude,0.001,economic cycle wealth ampitude (1+[-a/+a]) (applied to actual wealth growth),current month inflation,inflation,0.055%,,,,
cycle_wealth_period,60,"economic cycle period, in months",wealth growth monthly,wealth_growth,+0.495%,,,,
change_limit_wealth_growth,1,limit for monthly change of wealth growth,10 year growth of wealth,wealth_growth_10y,+80.8567%,,,,
change_limit_inflation,1,limit for monthly change of inflation,,,,,,,
province_income_max_modifier,7.5,Income max. scale according to campaign initial year (1890-1940),,,,,,,
port_capacity_max_modifier,5.5,Port max. scale according to campaign initial year (1890-1940) ,,,,,,,
initial_player_cash_multiplier,4,Funds max. scale for own fleet (1890-1940) ,,,,,,,
initial_cash_without_fleet_multiplier,0.4,Additional funds multiplier for own fleet,,,,,,,
port_capacity_growth_modifier,1,Affects growth of port capacity,,,,,,,
population_growth_modifier,0.6,Affects growth of  population,,,,,,,
lose_provinces_threshold,0.3,threshold of province income to dissolve a nation,,,,,,,
#,,Shipyard,,,,,,,
shipyard_dev_cost,30000,cost of increasing shipyard size by 1 t,,,,,,,
shipyard_cancel_built_penalty,0.6,penalty for current shipyard development if it is cancelled,,,,,,,
shipyard_dev_min_time_months,6,minimum time to build shipyard,,,,,,,
shipyard_dev_max_time_months,36,maximum time to build shipyard,,,,,,,
shipyard_dev_min_amount_tons,500,shipyard tons at min. built time,,,,,,,
shipyard_dev_max_amount_tons,3000,shipyard tons at max. built time,,,,,,,
shipyard_max_modifier,4.5,shipyard size development bonus according to year (LERP max. at 1940),,,,,,,
shipyard_build_amount_max_modifier,7,shipyard tonnage built time speed according to year (LERP max. at 1940),,,,,,,
#,,Required Tonnage,required tonnage,req_tonnage = your_provinces_dev_sum * req_tonnage_mult * ( 1 + req_tonnage_from_peace_ships * peace_other_players_ships + req_tonnage_from_war_ships * war_other_players_ships,"5,2",,,,
req_tonnage_mult,2000,required fleets tonnage: total multiplier,your provinces' development,your_provinces_dev_sum ,2,,,,
req_tonnage_from_peace_ships,0.0002,required fleets tonnage: multiplier for summed tonnage of other peaceful players (except allies),peaceful players tonnage,peace_other_players_ships,0,,,,
req_tonnage_from_alliance_ships,0.00012,required fleets tonnage: multiplier for summed tonnage of allies,alliance players tonnage,alliance_other_players_ships,0,,,,
req_tonnage_from_war_ships,0.0003,required fleets tonnage: multiplier for summed tonnage of other hostile players,hostile players tonnage,war_other_players_ships,1,,,,
req_tonnage_mult_sub,2000,required submarines tonnage: total multiplier,,,,,,,
req_tonnage_from_peace_subs,0.0006,required submarines  tonnage: multiplier for summed tonnage of other peaceful players (except allies),,,,,,,
req_tonnage_from_alliance_subs,0.0005,required submarines  tonnage: multiplier for summed tonnage of allies,,,,,,,
req_tonnage_from_war_subs,0.008,required submarines  tonnage: multiplier for summed tonnage of other hostile players,,,,,,,
attack_power_factor,2,Linear modifier to increase power needed for attack,600,,,,,,
defense_power_factor,8,Linear modifier to increase power needed for defense,1200,,,,,,
denial_zone_radius_min,50,min radius of denial zone in km,,,,,,,
denial_zone_radius_max,200,max radius of denial zone in km,,,,,,,
