,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
default,1,,,,,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,jap_tb_gun_76_x1,1.05,1.2,0.7,1.37,jap_tb_gun_76_x1,1.05,1.2,0.7,1.37,jap_tb_gun_76_x1,1.05,1.2,0.7,1.37,jap_tb_gun_76_x1,1.05,1.2,0.7,1.37,jap_tb_gun_76_x1,1.05,1.2,0.7,1.37,,,,,,,,,,
gun_2_x2,,51,gun_2_x2,,,maine_gun_152_x2,0.6,0.65,0.7,1.458,hood_gun_140_x2,0.6,0.65,0.7,1.4,hood_gun_140_x2,0.6,0.65,0.7,1.4,iowa_gun_127_x2,0.8,0.975,1,1.7,iowa_gun_127_x2,0.8,0.975,1,1.7,,,,,,,,,,
gun_2_x3,,51,gun_2_x3,,,maine_gun_152_x3,0.6,0.65,0.7,1.4,hood_gun_140_x3,0.6,0.65,0.7,1.4,hood_gun_140_x3,0.6,0.65,0.7,1.4,iowa_gun_127_x3,0.8,0.975,1,1.7,iowa_gun_127_x3,0.8,0.975,1,1.7,,,,,,,,,,
gun_3_x1,,76,gun_3_x1,,,brandenburg_gun_76_x1,1,1.17,0.7,1.4,brandenburg_gun_76_x1,1,1.17,0.7,1.4,hood_gun_140_x1,0.85,0.925,1.2,1.25,hood_gun_140_x1,0.85,0.925,1.2,1.25,iowa_gun_127_x1,1,1.185,1,1.428,,,,,,,,,,
gun_3_x2,,76,gun_3_x2,,,maine_gun_152_x2,0.85,0.925,1.2,1.2,hood_gun_140_x2,0.85,0.925,1.2,1.25,hood_gun_140_x2,0.85,0.925,1.2,1.25,hood_gun_140_x2,0.85,0.925,1.2,1.25,iowa_gun_127_x2,1,1.185,1,1.428,,,,,,,,,,
gun_3_x3,,76,gun_3_x3,,,maine_gun_152_x3,0.85,0.925,1.2,1.2,hood_gun_140_x3,0.85,0.925,1.2,1.25,hood_gun_140_x3,0.85,0.925,1.2,1.25,hood_gun_140_x3,0.85,0.925,1.2,1.25,iowa_gun_127_x3,1,1.185,1,1.428,,,,,,,,,,
gun_4_x1,,102,gun_4_x1,,,brandenburg_gun_76_x1,1.2,1.33,0.7,1.29,brandenburg_gun_76_x1,1.2,1.33,0.7,1.29,dd_s_gun_c_102_x1,1.1,1.291875,1.1,1.0937,spee_gun_150_x1,0.8,0.9,1.05,1.36,spee_gun_150_x1,0.8,0.9,1.05,1.36,,,,,,,,,,
gun_4_x2,,102,gun_4_x2,,,maine_gun_152_x2,0.875,0.8775,1,,hood_gun_140_x2,0.925,1.02375,1.2,1.27,dreadnought_gun_178_x2,0.95,1.04,1.5,1.19,spee_gun_150_x2,0.8,0.9,1.05,1.36,spee_gun_150_x2,0.8,0.9,1.05,1.36,,,,,,,,,,
gun_4_x3,,102,gun_4_x3,,,maine_gun_152_x3,0.875,0.8775,1,,hood_gun_140_x3,0.925,1.02375,1.2,1.27,dreadnought_gun_178_x3,0.95,1.04,1.5,1.19,spee_gun_150_x3,0.8,0.9,1.05,1.36,spee_gun_150_x3,0.8,0.9,1.05,1.36,,,,,,,,,,
gun_5_x1,,127,gun_5_x1,,,dd_s_gun_d_102_x1,1.2,1.35,1.1,1.28,dd_s_gun_d_102_x1,1.2,1.35,1.1,1.28,friedrich_gun_152_x1,1.2,1.295,1.25,1.1764,iowa_gun_b_127_x1,1.15,1.31625,1.18,,iowa_gun_b_127_x1,1.164375,1.332703125,1.2,,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,maine_gun_152_x2,0.9,0.975,1.25,0.952,hood_gun_140_x2,1.05,1.12125,1.55,1.085,dreadnought_gun_178_x2,1.05,1.14,1.55,1.06,iowa_gun_b_127_x2,1.15,1.31625,1.18,,iowa_gun_b_127_x2,1.164375,1.332703125,1.2,,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,maine_gun_152_x3,0.9,0.975,1.25,0.952,hood_gun_140_x3,1.05,1.12125,1.55,1.085,dreadnought_gun_178_x3,1.05,1.14,1.55,1.06,iowa_gun_b_127_x3,1.15,1.31625,1.18,,iowa_gun_b_127_x3,1.164375,1.332703125,1.2,,,,,,,,,,,
