#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
default,1,,,,-1,,,,,
##,,,country/type,bb,bc,ca,cl,dd,tb,ss
##,,,austria,47,39,44,47,22,29,1
##,,,britain,90,50,65,200,508,119,23
##,,,france,59,41,68,67,125,47,191
##,,,germany,57,36,43,53,1,1,1
##,,,italy,147,53,64,77,76,47,189
##,,,japan,82,47,58,60,195,46,1
##,,,russia,63,36,45,51,151,48,64
##,,,spain,181,149,64,101,124,88,5
##,,,usa,53,45,53,97,755,202,15
##,,,china,115,115,44,89,110,1,1
##,,,portugal,,,,,,,
##,,,,,,,,,,
###,,,special,,,,,,,
17,,$ D-%,austria,dd,,name / number,"wrong, same name as TB (T-%)?, as use names in list from list, until run out of names",https://en.wikipedia.org/wiki/Category:World_War_I_torpedo_boats_of_Austria-Hungary,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
18,,$ T-%,austria,tb,,name / number,"wrong, use names from list, until run out of names, or some have numbers",https://en.wikipedia.org/wiki/List_of_ships_of_the_Austro-Hungarian_Navy,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
19,,U-%,austria,ss,,number / number,"good: U-2 (U2- U-3 U-4), U-5 (U5 U-6 U-7) mixure",https://en.wikipedia.org/wiki/List_of_Austro-Hungarian_U-boats,"No name, just prefix. Example: ""U-10"".",U-%
20,0,names,britain,dd,,names,dd: ok,https://en.wikipedia.org/wiki/List_of_destroyer_classes_of_the_Royal_Navy,,
21,0,names,britain,tb,,names,tb: wrong?,https://en.wikipedia.org/wiki/List_of_torpedo_boat_classes_of_the_Royal_Navy,,
22,,$ E-%,britain,ss,,letter / letter+number,ss wrong (different letters for class),https://en.wikipedia.org/wiki/List_of_submarine_classes_of_the_Royal_Navy,"No name, just prefix. Example: E-10"".",E-%
23,0,names $ D-%,france,dd,,names,"wrong, use names?",https://en.wikipedia.org/wiki/List_of_destroyers_of_France,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
24,,$ T-%,france,tb,,name / number,no info?,?,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
25,,Q-%,france,ss,,names,"wrong, use names, plus (Q%) postfix",https://en.wikipedia.org/wiki/List_of_submarines_of_France,"Design gets a random name. All subordinate ships receive Q-# nbr. Example: ""NAME Q-10"".",$ Q-%
26,,V-%,germany,dd,,letter / letter+number,"wrong, varius prefix, plus restarting number",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"No name, just prefix. Example: ""Z10"".",Z-%
27,,S-%,germany,tb,,letter / letter+number,"wrong, different prefixes",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"Design gets name ""Type-#Year"". All subordinate ships receive T-# nbr. Example: ""Type-1928 T10"".",Type-& T-%
28,,U-%,germany,ss,,number / number,"ok global number, as austria-ss",https://en.wikipedia.org/wiki/List_of_U-boats_of_Germany,"No name, just prefix. Example: ""U-10"".",U-%
29,0,names,italy,dd,,names,dd: ok (names),https://en.wikipedia.org/wiki/List_of_destroyers_of_Italy,,
30,0,names $ TA-%,italy,tb,,names,tb: few info,?,"Design gets a random name. All subordinate ships receive TA-# nbr. Example: ""NAME TA-10"".",$ TA-%
31,, T-%,italy,ss,,,ss: few info,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Italy,"Design gets a random name. All subordinate ships receive F-# nbr. Example: ""NAME F-10"".",$ T-%
32,0,names,japan,dd,,names,,,,
33,0,names,japan,tb,,names,,,,
34,0,disabled Ha-%,japan,ss,1910,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ha-# nbr. Example: ""NAME Ha-10"".",$ Ha-%
35,0,disabled Ro-%,japan,ss,1925,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ro-# nbr. Example: ""NAME Ro-10"".",$ Ro-%
36,,I-%,japan,ss,,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive I-# nbr. Example: ""NAME I-10"".",$ I-%
37,0,names,russia,dd,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,,
38,0,names $ TK-%,russia,tb,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,"Design gets a random name. All subordinate ships receive ΤK-# nbr. Example: ""NAME TK-10"".",$ TK-%
39,0,names $ M-%,russia,ss,1905,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive M-# nbr. Example: ""NAME M-10"".",$ M-%
40,0,names $ S-%,russia,ss,1920,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive S-# nbr. Example: ""NAME S-10"".",$ S-%
41,,Π-%,russia,ss,,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive B-# nbr. Example: ""NAME B-10"".",$ Π-%
42,0,names $ D-%,spain,dd,,names,"wrong: contradiction, use names?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Destroyers,"Design gets a random name. All subordinate ships receive D-# nbr. Example: ""NAME D-10"".",$ D-%
43,0,names $ T-%,spain,tb,,names,"names for class, number for fleet ship?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Torpedo_boats,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
44,,S-%,spain,ss,,letter / letter+number,,,,$ S-%
45,0,A-%,spain,ss,1905,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: A-10"".",A-%
46,0,B-%,spain,ss,1920,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: ""B-10"".",B-%
47,0,C-%,spain,ss,,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix.  Example: C-10"".",C-%
48,0,names,usa,dd,,names,"dd: wrong, name for class, name+(DD-N) for fleet;",https://en.wikipedia.org/wiki/Category:World_War_I_destroyers_of_the_United_States,,
49,0,names $ TB-%,usa,tb,,names,"tb: wrong, name for class, name+(TB-N) for fleet",https://en.wikipedia.org/wiki/List_of_torpedo_boats_of_the_United_States_Navy,"Design gets a random name. All subordinate ships receive ΤΒ-# nbr. Example: ""NAME TB-10"".",$ TB-%
50,,SS-%,usa,ss,,letter / letter+number,"wrong, class name is letter, fleet name is X-N (local) (SS-N (global))",https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_the_United_States,"Design gets a random name. All subordinate ships receive SS-# nbr. Example: ""NAME SS-10"".",$ SS-%
51,,Y-%,china,tb,,,,,,$ Y-%
52,,Ch-%,china,ss,,,,,,$ Ch-%
###,,,austria,,,,,,,
54,,Monarch,austria,bb,,,,,,
55,,Wien,austria,bb,,,,,,
56,,Budapest,austria,bb,,,,,,
57,,Kronprinzessin Erzherzogin Stephanie,austria,bb,,,,,,
58,,Kronprinz Erzherzog Rudolf,austria,bb,,,,,,
59,,Habsburg,austria,bb,,,,,,
60,,Árpád,austria,bb,,,,,,
61,,Babenberg,austria,bb,,,,,,
62,,Erzherzog Karl,austria,bb,,,,,,
63,,Erzherzog Friedrich,austria,bb,,,,,,
64,,Erzherzog Ferdinand Max,austria,bb,,,,,,
65,,Erzherzog Franz Ferdinand,austria,bb,,,,,,
66,,Radetzky,austria,bb,,,,,,
67,,Zrínyi,austria,bb,,,,,,
68,,Viribus Unitis,austria,bb,,,,,,
69,,Tegetthoff,austria,bb,,,,,,
70,,Prinz Eugen,austria,bb,,,,,,
71,,Szent István,austria,bb,,,,,,
72,,Monarch,austria,bb,,,,,,
73,,Luitpold,austria,bb,,,,,,
74,,Heinrich,austria,bb,,,,,,
75,,Adalbert,austria,bb,,,,,,
76,,Ernst,austria,bb,,,,,,
77,,Richardis,austria,bb,,,,,,
78,,Würzburg,austria,bb,,,,,,
79,,Niederalteich,austria,bb,,,,,,
80,,Bohemia,austria,bb,,,,,,
81,,Süpplingenburg,austria,bb,,,,,,
82,,Siegreiche,austria,bb,,,,,,
83,,Starke,austria,bb,,,,,,
84,,Erlauchte,austria,bb,,,,,,
85,,Schöne,austria,bb,,,,,,
86,,Heilige,austria,bb,,,,,,
87,,Freigiebige,austria,bb,,,,,,
88,,Jasomirgott,austria,bb,,,,,,
89,,Tugendhafte,austria,bb,,,,,,
90,,Glorreiche,austria,bb,,,,,,
91,,Streitbare,austria,bb,,,,,,
92,,Rudolf,austria,bb,,,,,,
93,,Albert,austria,bb,,,,,,
94,,Frederick,austria,bb,,,,,,
95,,Otto,austria,bb,,,,,,
96,,Ladislaus,austria,bb,,,,,,
97,,Sigismund,austria,bb,,,,,,
98,,Maximilian,austria,bb,,,,,,
99,,Francis,austria,bb,,,,,,
100,,Karl,austria,bb,,,,,,
101,,Drache,austria,bc,,,,,,
102,,Salamander,austria,bc,,,,,,
103,,Kaiser Max,austria,bc,,,,,,
104,,Juan de Austria,austria,bc,,,,,,
105,,Erzherzog Ferdinand Max,austria,bc,,,,,,
106,,Lissa,austria,bc,,,,,,
107,,Kaiser,austria,bc,,,,,,
108,,Custoza,austria,bc,,,,,,
109,,Erzherzog Albrecht,austria,bc,,,,,,
110,,Kronprinz Erzherzog Rudolf,austria,bc,,,,,,
111,,Kronprinzessin Erzherzogin Stephanie,austria,bc,,,,,,
112,,Jupiter,austria,bc,,,,,,
113,,Gorzkowski,austria,bc,,,,,,
114,,Messagiere,austria,bc,,,,,,
115,,Achilles,austria,bc,,,,,,
116,,Taurus,austria,bc,,,,,,
117,,Vulcan,austria,bc,,,,,,
118,,Santa Lucia,austria,bc,,,,,,
119,,Volta,austria,bc,,,,,,
120,,Kaiserin Elisabeth,austria,bc,,,,,,
121,,Adria,austria,bc,,,,,,
122,,Donau,austria,bc,,,,,,
123,,Novara,austria,bc,,,,,,
124,,Schwarzenberg,austria,bc,,,,,,
125,,Laudon,austria,bc,,,,,,
126,,Erzherzog Friedrich,austria,bc,,,,,,
127,,Dandolo,austria,bc,,,,,,
128,,Saida,austria,bc,,,,,,
129,,Minerva,austria,bc,,,,,,
130,,Pylades,austria,bc,,,,,,
131,,Pola,austria,bc,,,,,,
132,,Montecuccoli,austria,bc,,,,,,
133,,Hussar,austria,bc,,,,,,
134,,Arthemisia,austria,bc,,,,,,
135,,Arethusa,austria,bc,,,,,,
136,,Dromedar,austria,bc,,,,,,
137,,Bravo,austria,bc,,,,,,
138,,Fido,austria,bc,,,,,,
139,,Camaeleon,austria,bc,,,,,,
140,,Zara,austria,ca,,,,,,
141,,Spalato,austria,ca,,,,,,
142,,Sebenico,austria,ca,,,,,,
143,,Lussin,austria,ca,,,,,,
144,,Panther,austria,ca,,,,,,
145,,Leopard,austria,ca,,,,,,
146,,Tiger,austria,ca,,,,,,
147,,Kaiser Franz Joseph I,austria,ca,,,,,,
148,,Kaiserin Elisabeth,austria,ca,,,,,,
149,,Kaiserin und Königin Maria Theresia,austria,ca,,,,,,
150,,Kaiser Karl VI,austria,ca,,,,,,
151,,Sankt Georg,austria,ca,,,,,,
152,,Helgoland,austria,ca,,,,,,
153,,Budapest,austria,ca,,,,,,
154,,Debrecen,austria,ca,,,,,,
155,,Tyrol,austria,ca,,,,,,
156,,Styria,austria,ca,,,,,,
157,,Vorarlberg,austria,ca,,,,,,
158,,Carinthia,austria,ca,,,,,,
159,,Szeged,austria,ca,,,,,,
160,,Miskolc,austria,ca,,,,,,
161,,Graz,austria,ca,,,,,,
162,,Linz,austria,ca,,,,,,
163,,Salzburg,austria,ca,,,,,,
164,,Innsbruck,austria,ca,,,,,,
165,,Klagenfurt,austria,ca,,,,,,
166,,Villach,austria,ca,,,,,,
167,,Wels,austria,ca,,,,,,
168,,Sankt Pölten,austria,ca,,,,,,
169,,Dornbirn,austria,ca,,,,,,
170,,Wiener Neustadt,austria,ca,,,,,,
171,,Steyr,austria,ca,,,,,,
172,,Feldkirch,austria,ca,,,,,,
173,,Bregenz,austria,ca,,,,,,
174,,Leonding,austria,ca,,,,,,
175,,Klosterneuburg,austria,ca,,,,,,
176,,Wolfsberg,austria,ca,,,,,,
177,,Leoben,austria,ca,,,,,,
178,,Krems,austria,ca,,,,,,
179,,Traun,austria,ca,,,,,,
180,,Amstetten,austria,ca,,,,,,
181,,Lustenau,austria,ca,,,,,,
182,,Kapfenberg,austria,ca,,,,,,
183,,Mödling,austria,ca,,,,,,
184,,Zenta,austria,cl,,,,,,
185,,Aspern,austria,cl,,,,,,
186,,Szigetvár,austria,cl,,,,,,
187,,Admiral Spaun,austria,cl,,,,,,
188,,Pola,austria,cl,,,,,,
189,,Teodo,austria,cl,,,,,,
190,,Meteor,austria,cl,,,,,,
191,,Blitz,austria,cl,,,,,,
192,,Komet,austria,cl,,,,,,
193,,Planet,austria,cl,,,,,,
194,,Trabant,austria,cl,,,,,,
195,,Satellit,austria,cl,,,,,,
196,,Magnet,austria,cl,,,,,,
197,,Fogas,austria,cl,,,,,,
198,,Wels,austria,cl,,,,,,
199,,Stöhr,austria,cl,,,,,,
200,,Fasana,austria,cl,,,,,,
201,,Gamma,austria,cl,,,,,,
202,,Zrínyi,austria,cl,,,,,,
203,,Aurora,austria,cl,,,,,,
204,,Frundsberg,austria,cl,,,,,,
205,,Maros,austria,cl,,,,,,
206,,Leitha,austria,cl,,,,,,
207,,Körös,austria,cl,,,,,,
208,,Szamos,austria,cl,,,,,,
209,,Temes,austria,cl,,,,,,
210,,Bodrog,austria,cl,,,,,,
211,,Enns,austria,cl,,,,,,
212,,Sava,austria,cl,,,,,,
213,,Bosna,austria,cl,,,,,,
214,,Hallein,austria,cl,,,,,,
215,,Kufstein,austria,cl,,,,,,
216,,Traiskirchen,austria,cl,,,,,,
217,,Schwechat,austria,cl,,,,,,
218,,Stockerau,austria,cl,,,,,,
219,,Saalfelden,austria,cl,,,,,,
220,,Ansfelden,austria,cl,,,,,,
221,,Tulln,austria,cl,,,,,,
222,,Hohenems,austria,cl,,,,,,
223,,Ternitz,austria,cl,,,,,,
224,,Bludenz,austria,cl,,,,,,
225,,Korneuburg,austria,cl,,,,,,
226,,Vöcklabruck,austria,cl,,,,,,
227,,Bad Vöslau,austria,cl,,,,,,
228,,Götzis,austria,cl,,,,,,
229,,Sankt Johann,austria,cl,,,,,,
230,,Sankt Andrä,austria,cl,,,,,,
231,,Csikos,austria,dd,,,,,,
232,,Dinara,austria,dd,,,,,,
233,,Huszar,austria,dd,,,,,,
234,,Pandur,austria,dd,,,,,,
235,,Reka,austria,dd,,,,,,
236,,Scharfschütze,austria,dd,,,,,,
237,,Streiter,austria,dd,,,,,,
238,,Turul,austria,dd,,,,,,
239,,Ulan,austria,dd,,,,,,
240,,Uskoke,austria,dd,,,,,,
241,,Velebit,austria,dd,,,,,,
