#id,"full human-readable ship's type, like ""Battleship""",similar classes (for names picks etc),relative power for various estimations,armor in mm,minimum belt armor (other armors zones can be zero) (-1 mean no limit),maximum belt armor (limits other zone too) (-1 mean no limit),speed min (estimation),speed limit (estimation),for ai fleet building: how large is part of this type in fleet?,"starting tonnage limit, before affect of techs, 0: can not build, -1: unlimited",optimal distance for shooting at enemy (ratio of max distance),controlled by ai always,hp = ... (see engine calculator),see before,see before,engine weight multiplier,main caliber range,seep prev,seconary caliber range,see prev,,,,stats requirements,"additional params
random_tonnage - during generation of random ship, set random tonnage, not close to maximal;
random_tonnage_low - same, but generate more often in lower half of tonnage range;
flee - always retreats;
range_min - hint for auto-builder for lower range limit;
avoid_barrels - un-prioritize any of this amount of barrels;
armor_min_hint - keep armor above this mult of max;
random_speed - randomize speed, in range;
random_range - randomize operational range;
random_surv - randomize survivability;
gun_damage - percent modifier to received gun damage;
torpedo_damage - percent modifier to received torpedo damage;
smoke - can launch smoke screen;",,
@name,nameFull,similar,power,armor,armorMin,armorMax,speedMin,speedMax,buildRatio,tonnageStartingLimit,optimalEnemyDistance,aiControl,shapeExpTonnage,shapeExpSpeed,shapeMult,engineWeightMod,mainFrom,mainTo,secFrom,secTo,power_projection,raidingPower,escortPower,requirements,param,#comment,#comment
default,,,0,15,0.01,13,25,38,1,-1,1,,4,3,0.00004,1.00E-11,0,0,0,0,10,1,1,,,,
xx,Custom,,0,15,0.01,13,25,38,1,-1,1,,4,3,0.00004,1.00E-11,,,,,10,1,1,,no_build,1.6,1.44
bb,Battleship,"bc, ca",252000000,14,9,17,15,35,10,-1,0.7,,1.1,2.6,0.00016,1.6,9,20,2,8,35,0.75,1.25,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1,2), armor_min_hint(1), range_min(Medium), gun_damage(-92), torpedo_damage(+10), max_range(12000), range_min_modifier(0.5), surv_min(VeryHigh), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0)",1.06,0.954
bc,Battlecruiser,"bb, ca",179125000,9,4,14,25,37,5,-1,0.75,,1.01,2.53,0.00052,1,9,20,2,8,35,1.5,1.25,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1,2), armor_min_hint(1.5), range_min(Medium), gun_damage(-91), torpedo_damage(+11), max_range(12000), range_min_modifier(0.5), surv_min(VeryHigh), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0)",0.95,0.8265
ca,Heavy Cruiser,"bb, bc, cl",33825000,6,4,8,15.5,39,23,4000,0.65,,0.13,4.5,0.0053,0.95,7,11,2,6,33,2,1.1,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1,2),armor_min_hint(0.4), range_min(low), gun_damage(-90), torpedo_damage(+13), max_range(11000), range_min_modifier(0.5), surv_min(VeryHigh), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0)",0.95,0.855
cl,Light Cruiser,"dd, ca",16912500,3,1,5,17,41,29,3000,0.63,,0.13,4.484,0.00405,0.95,4,9,2,3,30,3.3,1.2,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1,2),range_min(medium), gun_damage(-89), torpedo_damage(+15), max_range(10000), range_min_modifier(0.5), armor_min_hint(0.3), surv_min(VeryHigh), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0)",0.34,0.306
