name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
@name,type,#image,nameUi,year,yearRand,difficulty,effect,component,#todo,desc,#descOld,#desc3?,#comment
default,,,,-1,0,25,,,,,,,
start,special,,$technology_name_start,,,,start,,,,,,"special starting tech, all players have it researched"
# $techType_name_engine_engine,engine_engine,,,,,,,,,,,,
engine_engine_1,engine_engine,,$technology_name_engine_engine_1,1890,,74,"start, hp(24), stat(smoke;50), engine_vibrations(-40), cruising_speed(50), maintenance_tech(-10)",main_engine_1,,$technology_desc_engine_engine_1,The steam engine propulsion uses technology concepts of the 19th century.,,
engine_engine_2,engine_engine,,$technology_name_engine_engine_2,1895,1,74,"hp(26), fuel(10), stat(fcap;5), engine_c(-60), engine(2.5), engine_d(7.5), stat(smoke;60), engine_vibrations(-35), fuel_eff(10), cruising_speed(55), cost(hull;-3.5), maintenance_tech(5)",main_engine_2,,$technology_desc_engine_engine_2,"Α compound engine that expands the steam in three stages produces more power in less weight. *Engine weight -2%, Engine efficiency +1, Replaces Steam Compound Engine, Reduces chance of engine damage -5%* ",,
engine_engine_3,engine_engine,,$technology_name_engine_engine_3,1900,1,74,"hp(27), engine_c(-120), fuel(15), stat(fcap;10), engine(4.5), engine_d(25), stat(smoke;70), engine_vibrations(-30), fuel_eff(15), cruising_speed(59), cost(hull;-5.5), maintenance_tech(10)",main_engine_3,,$technology_desc_engine_engine_3,"An evolution to the older triple expansion steam engine which boosts performance. *Engine weight -2%, Engine efficiency +1, Replaces Triple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_4,engine_engine,,$technology_name_engine_engine_4,1904,1,74,"hp(28), fuel(22.5), stat(fcap;15) engine(5), engine_c(-335), engine_d(25), stat(smoke;55), engine_vibrations(-25), fuel_eff(27.5), cruising_speed(62.5), cost(hull;-7.5), maintenance_tech(25)",main_engine_3_adv,,$technology_desc_engine_engine_4,"An evolution to the older triple expansion steam engine which boosts performance. *Engine weight -2%, Engine efficiency +1, Replaces Triple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_5,engine_engine,,$technology_name_engine_engine_5,1906,1,74,"hp(70), engine(25), fuel(-10), stat(fcap;45), accel(50), engine_c(-2500), engine_d(35), module_repair_engine(30), stat(smoke;25), engine_vibrations(15), fuel_eff(-10), cruising_speed(52.5), cost(hull;-12), maintenance_tech(-10)",main_engine_4,,$technology_desc_engine_engine_5,"The revolutionary steam turbine mechanism makes older reciprocating engines obsolete. *Engine weight -2%, Engine efficiency +4, Replaces Multiple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_6,engine_engine,,$technology_name_engine_engine_6,1914,2,74,"hp(100), engine(10), accel(60), fuel(-7.5), stat(fcap;50), engine_c(-5000), engine_d(40), module_repair_engine(45), stat(smoke;20), engine_vibrations(20), fuel_eff(-7.5), cruising_speed(55), cost(hull;-15), maintenance_tech(-15)",main_engine_5,,$technology_desc_engine_engine_6,"Reduction gears offer high engine power and torque at lower rpm and reduce chances of malfunctioning. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_7,engine_engine,,$technology_name_engine_engine_7,1920,2,74,"hp(57), engine(25), stat(fcap;65), accel(200), decel(75), engine_c(-5600), engine_d(60), module_repair_engine(75), module_repair(10), engine_r(10), pump(10), gun_rotation(10), turning(10), turning_change(12.5), stat(smoke;-60), engine_vibrations(60), flaws(-10), fuel_eff(20), cruising_speed(72.5), cost(hull;-17.5), maintenance_tech(20)",main_engine_turbo,,$technology_desc_engine_engine_7,"Reduction gears offer high engine power and torque at lower rpm and reduce chances of malfunctioning. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_8,engine_engine,,$technology_name_engine_engine_8,1925,3,74,"hp(135), engine(5), fuel(-5), stat(fcap;55), accel(65), engine_c(-7800), engine_d(45), module_repair_engine(60), stat(smoke;15), engine_vibrations(25), flaws(-5), fuel_eff(-5), cruising_speed(60), cost(hull;-20), maintenance_tech(-15)",main_engine_6,,$technology_desc_engine_engine_8,"Double reduction gears can now be used on Steam Turbines, increasing further their performance and reliability. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_9,engine_engine,,$technology_name_engine_engine_9,1931,3,74,"hp(44), fuel(15), engine(17.5), engine_c(-6250), engine_d(75), module_repair_engine(120), stat(fcap;100), boiler(100), accel(-25), stat(smoke;-25), engine_vibrations(-15), flaws(-5), fuel_eff(25), cruising_speed(80), cost(hull;-22.5), maintenance_tech(25)",main_engine_7,,$technology_desc_engine_engine_9,,,
engine_engine_10,engine_engine,,$technology_name_engine_engine_10,1937,3,74,"hp(48), fuel(25), engine(22.5), engine_c(-7500), engine_d(85), module_repair_engine(175), stat(fcap;110), boiler(100), accel(-27.5), stat(smoke;-35), engine_vibrations(-22.5), flaws(-7.5), fuel_eff(35), cruising_speed(75), cost(hull;-25), maintenance_tech(30)",main_engine_8,,$technology_desc_engine_engine_10,,,
engine_engine_11,engine_engine,,$component_name_short_main_engine_9,1945,3,74,"hp(190), engine(13.5), accel(45), stat(fcap;70), engine_c(-25000), engine_d(35), module_repair_engine(40), fuel(-10), boiler(100), stat(smoke;-40), engine_vibrations(40), flaws(-10), cruising_speed(85), cost(hull;-27.5), maintenance_tech(12.5)",main_engine_9,,$technology_desc_engine_engine_11,,,
engine_engine_end,engine_engine,,$technology_name_engine_engine_end,1950,2,60,"end, hp(0.5), fuel(0.25), engine_c(-10), engine_d(2.5), module_repair_engine(2.5), stat(smoke;-1), engine_vibrations(0.5), fuel_eff(1), maintenance_tech(-0.2)",,,$technology_desc_engine_engine_end,,,
# $compTypes_name_short_boilers,engine_boiler,,,,,,,,,,,,
engine_boiler_1,engine_boiler,,$technology_name_engine_boiler_1,1890,,37,"start, fuel(-15), hull(-2), stat(fcap;-35), detonation(7.5), stat(floatability;5), stat(endurance;7.5), stat(smoke;100), engine_vibrations(-15), fuel_eff(-25), engine_c(25), boiler(-50), oil_consumption(0)",fuel_coal,,$technology_desc_engine_boiler_1,,,
engine_boiler_2,engine_boiler,,$technology_name_engine_boiler_2,1907,2,37,"fuel(15), fuel_c(-150), hull(-1), engine_c(-125), stat(fcap;-15), detonation(2.5), stat(endurance;2), stat(floatability;2), stat(smoke;50), engine_vibrations(-5), fuel_eff(5), boiler(-25), oil_consumption(50),  maintenance_tech(5)",fuel_oil_1,need_oil,$technology_desc_engine_boiler_2,"Using oil to heat the boilers increases their performance. *Allows Oil Steam Engine, Boilers weight -4% for Oil Steam Engines*",Allows Oil Fuel,
engine_boiler_3,engine_boiler,,$technology_name_engine_boiler_3,1912,2,37,"fuel(25), boiler(10), engine_c(-350), stat(fcap;15),  fuel_c(-200), stat(smoke;15), engine_vibrations(10), fuel_eff(10), oil_consumption(100), maintenance_tech(7.5)",fuel_oil_2,need_oil,$technology_desc_engine_boiler_3,"Ships equipped with oil steam engines can use lighter and more efficient boilers. ""Weight -5% for Oil Fired Boilers, Fuel consumption -5% for Oil Steam Engines""",,
engine_boiler_4,engine_boiler,,$technology_name_engine_boiler_4,1925,2,37,"fuel(30), engine_c(-650), stat(fcap;25),  fuel_c(-220), stat(smoke;10), engine_vibrations(20), fuel_eff(20), oil_consumption(100),  maintenance_tech(10)",fuel_oil_3,need_oil,$technology_desc_engine_boiler_4,"Ships equipped with oil steam engines can use lighter and more efficient boilers. ""Weight -5% for Oil Fired Boilers, Fuel consumption -5% for Oil Steam Engines""",,
engine_boiler_5,engine_boiler,,$technology_name_engine_boiler_5,1935,2,37,"fuel(40), engine_c(-950), stat(fcap;40),  fuel_c(-250), stat(smoke;5), engine_vibrations(30), fuel_eff(30), oil_consumption(100), maintenance_tech(12.5)",fuel_oil_4,need_oil,$technology_desc_engine_boiler_5,"Ships equipped with oil steam engines can use lighter and more efficient boilers. ""Weight -5% for Oil Fired Boilers, Fuel consumption -5% for Oil Steam Engines""",,
engine_boiler_6,engine_boiler,,$technology_name_engine_boiler_6,1887,,37,"start, stat(fcap;-30), engine_c(25), fuel(10), fuel_c(25), fuel_eff(10), cost(funnel;40)",boiler_1,,$technology_desc_engine_boiler_6,,,
engine_boiler_7,engine_boiler,,$technology_name_engine_boiler_7,1893,2,37,"boiler(-4), hull(-0.5), cost(funnel;-20), stat(fcap;25), stat(smoke;20), engine_vibrations(-12.5), engine_c(-35), engine_c(-50), maintenance_tech(-7.5)",boiler_2,,$technology_desc_engine_boiler_7,,,
engine_boiler_8,engine_boiler,,$technology_name_engine_boiler_8,1906,6,37,"weight(funnel;-75), engine_c(-175), cost(funnel;-100), stat(fcap;80), stat(smoke;50), engine_vibrations(-30), maintenance_tech(-12.5)",boiler_3,,$technology_desc_engine_boiler_8,,,
engine_boiler_9,engine_boiler,,$technology_name_engine_boiler_9,1919,6,37,"boiler(-2.5), hull(-0.25), weight(funnel;-22.5), cost(funnel;-55), engine_c(-100), stat(fcap;35), stat(smoke;-15), engine_vibrations(-15), maintenance_tech(-5)",boiler_4,,$technology_desc_engine_boiler_9,,,
engine_boiler_10,engine_boiler,,$technology_name_engine_boiler_10,1897,2,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_11,engine_boiler,,$technology_name_engine_boiler_11,1905,2,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_12,engine_boiler,,$technology_name_engine_boiler_12,1912,2,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_13,engine_boiler,,$technology_name_engine_boiler_13,1920,2,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
